from,Abu Dhabi,Acajutla,Ain Sokhna,Aliaga LNG,Altamira,Ambon,Aqaba,Arun,Arzew,Ashdod,Bahia Blanca,Bal Haf LNG,Barcelona,Batangas,Bethioua,Bilbao,Bintulu,Bonny,Bontang,Brass,Brownsville,Cai Mep Gas Terminal,Cameron,Cao Fei Dian 11,Cartagena,Caucedo,Chita - LNG,Chittagong,Chiwan,Coega,"Colon, Panama",Coos Bay,Corpus Christi,Costa Azul,Cove Point,Dabhol,Dahej,Dalian,Dampier,Dangjin,Dar-es-Salaam,Darwin,Dili,Donghae,Dragon,Drovyanoy,Dunkirk,Elba Island,Ennore,Escobar,Everett,Falconara,Ferrol,Fort de France,Fos - Cavaou,Freeport,Fujairah,Fujian,Futtsu,Gangavaram,Gioia Tauro,Gladstone,Golden Pass,Guangdong,Guayama,Guayanilla,Gwangyang,Hachinohe,Haikou,Haldia,Halifax,Hammerfest,Hatsukaichi,Hazira,Higashi-Ogishima,Himeji,Hitachi,Ho Chi Min City,Holyhead,Huelva,Idku,Inchon,Ishikariwan-Shinko,Isle of Grain,Jebel Ali,Jiangsu,Johore,Jorf Lasfar,Jurong Island,Kagoshima,Kakinada,Karachi,Karwar,Khor al Zubair,Kitakyushu,Kitimat,Klaipeda,Koper,Kribi,Krk Island,Kushiro,Lahad Datu,Lake Charles,Le Havre,Lianyungang,Limassol,Limerick,Livorno,Lumut,Luwuk,Manzanillo,Map Ta Phut,Marmara Ereglisi,Marsa el Brega,Mejillones,Mina Al-Ahmadi,Mizushima,Mombasa,Montevideo,Montoir,Mossel Bay,Mozambique Port,Mundra,Nagasaki,Nanao,Naoetsu,Negishi,New Plymouth,Niigata-Higashi,Northeast Gateway,Offshore Haldia No.1 (TA),Ogishima,Oita - LNG Berth,Okinawa,Ortona,Paldiski South Harbour,Pampa Melchorita,Panjang,Pars,Pascagoula,Pecem,Pipavav,Plaquemines,Pluto LNG Jetty,Point Fortin,Pointe-a-Pitre,Port Esquivel,Port Moresby,Porto Empedocle,Prigorodnoye,Prince Rupert,Punta Europa,Pyeong Taek,Qalhat LNG Terminal,Qingdao,Qinhuangdao,Qinzhou,Quintero,Ras Laffan,Revithousa,Rio Grande,Rosarito,Rosignano LNG,Rostock,Rotterdam,Sabine Pass,Sagunto,Saint John,Sakai LNG,Sakaide,Salvador,Santa Cruz de Tenerife,Sao Francisco do Sul,Savannah,Semarang,Senboku,Sendai,Shanghai,Shenzhen,Shimizu,Shinminato,Sines,Skikda,Sodegaura,Soma,South Hook,Soyo,Sungai Udang,Swinoujscie,Taichung,Talcahuano,Tangguh,Taranto,Teesport,Tianjin Lingang,Tobata,Tombak,Tong Yong,Trieste,Tripoli,Vladivostok,Vyborg,Wakayama,Wilhelmshaven,Yanai,Yangshan,Yokkaichi,Yung-an,Yuzhny,Zeebrugge,Zhangjiagang,Bahrain,Guanabara
Bahia Blanca,9859,5527,7644,7247,6837,9209,7926,8853,5861,7614,,9192,6119,10322,5861,6171,9208,4669,9853,4615,6805,9953,6748,11238,5846,5171,10428,9275,10768,4181,5694,7861,6835,7011,6187,8686,8984,11118,8861,10953,6096,9153,9251,10836,6376,8919,6569,6121,8589,702,6148,7220,5940,4657,6296,6775,9635,10729,10358,8841,6628,7144,6744,10759,4991,5019,10758,10519,10684,9173,6028,7789,10601,8899,10360,10632,10387,9985,6467,5605,7423,10997,10816,6631,9814,10851,9366,5361,9327,10502,8810,9209,8513,10228,10599,8504,7578,7342,4726,7287,10525,10068,6754,6475,11051,7516,6383,6476,10062,9604,6047,10086,7385,7000,3319,10174,10675,6247,561,6260,4034,5538,9091,10604,10918,10884,10352,5713,10827,6137,9101,10355,10532,10344,7147,7779,3860,8866,9940,6618,2938,8920,6599,8858,4635,4720,5549,7951,6525,10729,8541,4718,10989,9431,11038,11237,10706,2731,9945,7117,750,7035,6477,7355,6670,6741,6004,6173,10609,10665,2161,4931,1173,6127,9193,10610,10447,10809,10767,10421,10928,5591,6210,10364,10430,6373,4496,9212,7386,10663,2501,9639,6887,6862,11283,10596,9952,10744,7342,7640,11022,7939,10580,6903,10559,10747,10429,10528,7778,6609,10877,10025,
Bahrain,,13450,3096,3821,10031,5385,3043,3252,4896,3336,10025,1619,4818,5067,4907,6082,3601,8522,5050,8457,10008,4346,9924,6514,4916,8702,6509,3450,5161,5930,9471,10839,10027,11525,8577,1436,1362,6394,4908,6281,6115,5480,5175,6407,6302,8922,6486,8832,2764,10011,8176,4424,5850,8417,4813,9955,455,5751,6630,3016,4499,7537,9919,5176,8527,8565,6202,6985,5077,3348,7840,7792,6356,1394,6631,6447,6722,4378,6398,5264,3375,6326,6991,6548,310,6056,3759,5384,3720,6124,2985,964,1579,341,6262,10567,7495,4545,8657,4490,7091,5023,9929,6393,6292,3420,6376,4675,4455,5344,12526,4479,3992,4015,11866,287,6402,6266,9869,6171,6111,5563,1154,6136,6675,6679,6623,8170,6727,8155,3276,6626,6287,5814,4350,7696,12407,3932,133,9704,8164,1288,9731,4905,8588,8361,9076,6490,4236,7186,10381,8590,6317,646,6279,6513,5099,11278,212,3825,9773,11512,4675,7273,6587,9916,4886,8107,6425,6397,8660,5864,9677,8838,4273,6425,6832,5984,5160,6553,6685,5443,4559,6636,6814,6299,8128,3605,7303,5685,11048,5711,4160,6780,6559,6260,127,6246,4546,3481,6749,7856,6396,6820,6313,5911,6510,5345,4385,6526,6051,,
Bal Haf LNG,1457,13649,1565,2291,8501,5584,1513,3451,3366,1806,9192,,3286,5260,3375,4550,3794,6990,5243,6925,8475,4538,8392,6707,3384,7170,6702,3643,5354,6122,7939,11032,8495,11717,7045,1629,1575,6586,5100,6474,6308,5672,5367,6599,4770,7390,4954,7300,2956,8934,6644,2892,4318,6885,3281,8423,1199,5943,6822,3208,2967,7729,8387,5369,6995,7033,6394,7177,5270,3540,6307,6260,6548,1501,6824,6640,6914,4570,4866,3732,1843,6518,7184,5016,1392,6248,3952,3852,3912,6317,3178,1308,1772,1806,6455,10759,5963,3013,7125,2958,7283,5216,8397,4861,6484,1888,4844,3143,4648,5536,12719,4671,2460,2483,12059,1752,6594,6458,8793,4639,6303,5756,1405,6329,6867,6871,6815,8363,6919,6623,3468,6819,6479,6006,2818,6164,12600,4124,1518,8172,6632,1501,8199,5097,7056,6829,7544,6682,2704,7379,10574,7058,6510,985,6471,6706,5291,11470,1523,2293,8517,11704,3142,5740,5055,8384,3354,6575,6617,6590,7128,4332,8144,7306,4465,6618,7024,6176,5352,6745,6878,3911,3027,6828,7007,4767,7413,3797,5771,5878,11241,5904,2628,5247,6752,6453,1530,6439,3014,1949,6941,6324,6588,5288,6506,6104,6702,5537,2853,4994,6243,1619,
Barcelona,4657,11321,1729,1328,5428,8783,2010,6650,352,1695,6119,3286,,8459,352,1470,6992,3910,8442,3845,5396,7737,5312,9905,288,4090,9900,6841,8552,6075,4859,13657,5415,12807,3965,4827,4774,9785,8299,9673,8041,8871,8566,9798,1690,4311,1874,4220,6155,5855,3565,1297,1239,3805,192,5343,4398,9142,10021,6407,686,10928,5308,8567,3915,3953,9593,10376,8469,6739,3228,3180,9747,4807,10022,9838,10113,7769,1786,652,1499,9717,10383,1937,4591,9447,7150,772,7111,9515,6377,4506,4971,5005,9654,13958,2883,1418,4045,1363,10482,8415,5317,1781,9683,1593,1764,392,7846,8735,11843,7870,1465,1077,9116,4951,9793,8191,5713,1559,5928,7482,4604,9527,10066,10070,10014,11510,10118,3543,6667,10017,9678,9205,1223,3085,9657,7323,4717,5092,3552,4700,5120,8296,3976,3749,4464,9881,595,10578,13772,3978,9708,4184,9670,9905,8490,8528,4722,1193,5437,12831,393,2661,1975,5304,155,3495,9816,9789,4048,1252,5065,4226,7664,9817,10223,9375,8551,9944,10076,831,355,10027,10206,1687,4333,6996,2691,9076,8298,9103,964,2168,9951,9651,4728,9638,1418,1717,10140,3244,9787,2209,9705,9302,9901,8736,1859,1914,9442,4818,
Batangas,4906,8634,6752,7478,13688,1474,6700,1838,8552,6992,10322,5260,8459,,8569,9743,1485,9387,980,9373,13669,925,13585,1747,8578,12363,1714,2887,709,6581,13132,6046,13689,6726,12239,3728,4026,1627,2187,1514,6777,1962,1590,1631,9963,12584,10147,12494,2946,10672,11838,8085,9512,12078,8475,13616,4691,984,1836,2927,8161,3537,13581,689,12189,12227,1426,2191,777,2944,11501,11453,1569,3941,1838,1654,1928,957,10059,8926,7036,1558,2216,10210,4870,1288,1348,9045,1366,1346,2949,4263,3542,5284,1487,5773,11156,8207,9307,8152,2315,,13591,10054,1525,7082,10038,8337,720,,7726,1485,7654,7677,10196,5230,1616,6927,10531,9832,6756,6225,4143,1361,1899,1903,1829,4681,1951,11817,2867,1833,1501,1019,8012,11358,10091,1900,4996,13366,10644,3961,13393,2183,12250,12023,12738,2731,7898,2411,5588,9364,1550,4487,1512,1746,985,9818,5001,7487,10413,6714,8336,10934,10248,13578,8547,11768,1632,1611,10287,9526,10396,12500,1716,1632,2038,1216,708,1758,1909,9105,8221,1842,2021,9960,8769,1488,10964,918,9629,1508,7822,10441,1792,1484,5008,1471,8207,7143,1973,11517,1603,10482,1527,1144,1715,615,8047,10188,1284,5067,
Bethioua,4746,11063,1818,1421,5170,8872,2099,6739,5,1787,5861,3375,352,8569,,1209,7085,3649,8534,3583,5134,7830,5051,9998,114,3829,9993,6934,8645,5813,4597,13396,5154,12546,3704,4920,4867,9878,8392,9766,7779,8964,8659,9891,1429,4049,1612,3959,6248,5593,3303,1393,977,3543,523,5081,4491,9235,10114,6500,802,11021,5046,8660,3654,3692,9686,10469,8562,6832,2966,2918,9840,4900,10115,9931,10206,7862,1525,391,1596,9810,10476,1675,4683,9540,7243,510,7204,9608,6469,4599,5064,5098,9746,14039,2621,1515,3784,1460,10575,8508,5056,1519,9776,1689,1503,676,7939,8828,11582,7963,1558,1173,8854,5044,9886,7930,5452,1298,5667,7221,4696,9620,10159,10163,10107,11248,10211,3282,6760,10110,9771,9298,1320,2823,9395,7416,4810,4831,3290,4793,4858,8389,3715,3488,4203,9974,699,10670,13865,3717,9801,4276,9763,9997,8583,8266,4815,1290,5176,12570,677,2399,1714,5043,241,3233,9909,9882,3787,991,4803,3965,7757,9909,10316,9468,8644,10037,10169,570,383,10120,10298,1425,4072,7089,2429,9169,8036,9196,1060,1906,10043,9744,4821,9730,1515,1813,10233,2982,9880,1947,9798,9395,9994,8829,1952,1653,9535,4907,
Bilbao,5920,11391,2992,2596,4919,10047,3274,7914,1209,2962,6171,4550,1470,9743,1209,,8228,3978,9677,3913,4882,8973,4799,11141,1162,3694,11136,8077,9788,6143,4463,13715,4902,12865,3380,6063,6010,11021,9535,10908,8109,10107,9802,11034,558,3230,714,3657,7391,5897,2927,2536,273,3486,1612,4830,5634,10378,11257,7643,1944,12164,4794,9803,3541,3579,10829,11612,9704,7975,2578,2099,10983,6042,11258,11074,11349,9005,654,849,2739,10953,11618,777,5826,10683,8386,952,8347,10751,7612,5742,6206,6240,10889,14358,1723,2658,4113,2603,11718,9650,4804,621,10919,2832,711,1792,9082,9971,11901,9106,2701,2316,9174,6187,11029,8259,5755,250,5996,7550,5839,10763,11302,11306,11250,11567,11354,2905,7903,11253,10914,10441,2463,1925,9715,8559,5953,4579,3532,5936,4606,9532,3683,,4037,11117,1842,11813,14395,4046,10944,5419,10906,11140,9726,8585,5958,2433,5479,12889,1793,1501,815,4791,1320,2856,11052,11024,4084,1284,5106,3663,8900,11052,11459,10611,9787,11180,11312,667,1526,11263,11441,555,4401,8232,1531,10312,8356,10338,2203,1008,11186,10887,5964,10873,2658,2956,11376,2084,11023,1049,10940,10538,11137,9972,3094,754,10678,6082,
Bintulu,3440,9853,5286,6011,12221,1890,5233,372,7086,5526,9208,3794,6992,1485,7085,8228,,7934,1559,7920,12185,761,12101,2933,7093,10880,2926,1410,1576,5116,11651,7255,12203,7940,10756,2251,2546,2810,1883,2694,5302,2119,1695,2822,8458,11087,8633,11016,1470,9198,10357,6600,7995,10595,6988,12132,3214,2166,3039,1452,6674,4087,12097,1591,10705,10743,2617,3400,1497,1468,10008,9954,2771,2463,3045,2864,3137,793,8554,7440,5550,2728,3406,8719,3398,2471,175,7562,134,2539,1474,2786,2065,3804,2677,6982,9658,6705,7854,6663,3506,1438,12106,8534,2707,5595,8541,6850,870,1852,8933,886,6182,6206,10872,3759,2809,5456,9060,8361,5301,4753,2672,2543,3082,3086,3030,5268,3134,10345,1396,3033,2693,2220,6541,9887,10911,980,3525,11894,9194,2490,11922,1872,10778,10551,11266,3033,6427,3593,6788,7914,2724,3015,2686,2920,1505,10390,3530,6016,8963,7919,6865,9463,8777,12107,7076,10297,2831,2804,8837,8055,8946,11028,858,2832,3239,2390,1567,2960,3092,7633,6749,3042,3221,8489,7319,4,9493,2092,10160,2212,6351,8942,2966,2667,3537,2653,6736,5671,3155,10046,2803,9011,2720,2318,2917,1752,6576,8716,2458,3601,
Bonny,8360,9519,5433,5036,6346,8729,5714,7579,3649,5402,4669,6990,3910,9387,3649,3978,7934,,8527,94,6310,8679,6226,10847,3634,4671,10842,7999,9494,2854,5290,11852,6329,11002,5256,7409,7708,10727,7605,10615,4820,8568,8418,10740,4208,6804,4392,5365,7312,4439,5051,5009,3757,4171,4085,6257,8106,10084,10963,7564,4416,9641,6222,9509,4466,4502,10535,11318,9411,7896,4770,5674,10689,7622,10964,10780,11055,8711,4304,3394,5211,10659,11325,4455,8299,10389,8092,3150,8053,10457,7534,7933,7236,8713,10595,12496,5401,5130,214,5075,11424,8838,6231,4299,10625,5305,4259,4264,8779,8742,10038,8812,5173,4789,7311,8659,10735,4971,4298,4077,2708,4262,7814,10469,11008,11012,10956,9593,11060,5040,7824,10959,10620,10147,4935,5603,7852,7548,8425,6006,2831,7643,6034,7602,4231,4188,5103,9605,4314,11519,12532,136,10650,7892,10612,10847,9432,6723,8430,4905,4047,11026,4265,5179,4493,6219,3792,4991,10758,10731,2954,2732,3741,5371,7880,10758,11165,10317,9493,10886,11018,3385,3998,10969,11148,4205,738,7938,5209,10018,6493,9109,4676,4686,10893,10593,8437,10579,5130,5429,11082,5762,10729,4727,10647,10244,10843,9678,5567,4432,10384,8522,
Bontang,4889,9033,6735,7461,13671,1033,6683,1914,8535,6975,9853,5243,8442,980,8534,9677,1559,8527,,8513,13641,1404,13558,2644,8550,12017,2498,2960,1601,5734,12539,6649,13661,7212,12211,3700,3998,2524,1326,2411,6044,1325,845,2528,9935,12556,10119,12466,3019,9827,11810,8057,9484,11502,8447,13588,4663,1881,2577,3001,8133,3237,13553,1582,11837,11864,2323,2927,1664,3018,11473,11425,2408,3912,2579,2466,2664,1436,10031,8898,7009,2456,3113,10182,4842,2186,1422,9017,1439,2209,3023,4235,3514,5256,2383,6440,11128,8179,8446,8124,3075,430,13563,10026,2422,7054,10010,8309,984,995,8126,1865,7626,7649,10029,5203,2454,6194,9686,9805,5903,5491,4115,2258,2796,2800,2571,4426,2848,11789,2941,2574,2339,1894,7984,11330,10003,1161,4969,13338,9783,3933,13365,1323,11481,11566,12394,2191,7870,3307,6254,8503,2447,4459,2409,2643,1871,9594,4973,7459,9553,7199,8308,10906,10221,13550,8520,11740,2444,2450,9427,9498,9536,12472,856,2444,2774,2114,1600,2522,2806,9077,8193,2583,2757,9932,7908,1562,10936,1815,9404,1339,7794,10413,2689,2381,4980,2368,8179,7115,2870,11489,2415,10454,2366,2041,2499,1512,8019,10160,2181,5050,
Brass,8295,9473,5367,4970,6281,8715,5649,7565,3584,5337,4615,6925,3845,9373,3583,3913,7920,94,8513,,6244,8665,6161,10833,3569,4605,10828,7985,9480,2840,5224,11806,6264,10957,5190,7395,7694,10713,7591,10601,4806,8554,8404,10726,4143,6739,4327,5300,7298,4384,4985,4943,3691,4105,4019,6191,8041,10070,10949,7550,4351,9627,6156,9495,4401,4437,10521,11304,9397,7882,4704,5608,10675,7608,10950,10766,11041,8697,4239,3328,5146,10645,11311,4389,8233,10375,8078,3084,8039,10443,7520,7919,7222,8647,10581,12450,5336,5065,230,5010,11410,8824,6166,4234,10611,5239,4193,4199,8765,8728,9992,8798,5108,4723,7265,8594,10721,4957,4243,4012,2694,4248,7800,10455,10994,10998,10942,9579,11046,4975,7810,10945,10606,10133,4870,5537,7806,7534,8360,5941,2767,7629,5968,7588,4166,4122,5038,9591,4248,11505,12486,158,10636,7826,10598,10833,9418,6677,8364,4840,3991,10980,4200,5114,4428,6153,3727,4925,10744,10717,2892,2666,3683,5305,7866,10744,11151,10303,9479,10872,11004,3320,3933,10955,11134,4140,732,7924,5144,10004,6447,9095,4610,4620,10879,10579,8371,10565,5065,5363,11068,5697,10715,4661,10633,10230,10829,9664,5501,4367,10370,8457,
Brownsville,9846,12021,6918,6521,291,13853,7200,11840,5135,6888,6805,8475,5396,13669,5134,4882,12185,6310,13641,6244,,12929,381,15098,5118,1708,15093,12034,13745,7978,1615,14355,216,13505,1886,10020,9967,14977,12728,14865,9944,13692,13542,14990,4737,6662,5043,1438,11347,6538,2254,6493,4657,2205,5569,276,9590,14334,15213,11600,5901,13638,351,13760,1893,1860,14785,15568,13661,11931,2438,5532,14939,9999,15215,15031,15305,12961,4793,4813,6695,14909,15575,5106,9783,14639,12343,4747,12303,14708,11569,9699,10163,10197,14846,14998,5772,6614,6445,6559,15674,13607,386,4950,14875,6789,4585,5748,13039,13865,12541,13062,6658,6273,9813,10143,14986,10094,6397,4881,7831,9385,9796,14720,15258,15262,15207,12207,15311,2244,11860,15210,14870,14397,6419,5974,10354,12515,9909,617,3902,9893,530,12725,2302,2177,1312,14445,5798,15770,15035,6378,14901,9376,14862,15097,13682,9225,9914,6389,6121,13529,5749,5550,5144,348,5276,2408,15008,14981,4725,4496,5748,1444,12857,15009,15415,14567,13743,15137,15269,4685,5483,15219,15398,4734,6733,12188,5580,14269,8995,14233,6160,5162,15143,14844,9921,14830,6615,6913,15332,6133,14979,5368,14897,14495,15093,13929,7051,5083,14635,10008,
Cai Mep Gas Terminal,4184,9287,6030,6756,12966,2040,5978,1116,7831,6270,9953,4538,7737,925,7830,8973,761,8679,1404,8665,12929,,12861,2358,7854,11639,2363,2162,1000,5867,12408,6694,12965,7374,11514,3004,3302,2237,2219,2125,6053,2463,2030,2250,9239,11860,9423,11769,2221,9948,11114,7361,8788,11354,7751,12892,3967,1594,2485,2203,7436,4104,12857,1015,11464,11502,2045,2831,916,2220,10777,10729,2199,3216,2486,2297,2577,50,9335,8201,6312,2169,2835,9486,4146,1899,624,8321,641,1968,2225,3539,2818,4560,2106,6422,10432,7483,8604,7428,2934,1083,12867,9330,2135,6358,9314,7613,593,1804,8375,725,6929,6953,10763,4506,2245,6203,9807,9108,6048,5501,3419,1980,2518,2522,2478,5249,2571,11092,2143,2481,2130,1668,7288,10634,10722,1324,4272,12641,9941,3237,12669,2215,11526,11298,12014,3300,7174,3030,6236,8661,2161,3763,2122,2357,937,10386,4277,6763,9710,7363,7612,10210,9524,12854,7823,11044,2278,2241,9585,8802,9693,11775,1201,2278,2687,1827,998,2407,2529,8381,7496,2491,2669,9236,8066,764,10240,1529,10197,2076,7098,9717,2403,2104,4284,2090,7483,6419,2592,10793,2249,9758,2157,1755,2364,1188,7323,9463,1894,4346,
Cameron,9762,11964,6834,6438,546,13796,7116,11756,5051,6804,6748,8392,5312,13585,5051,4799,12101,6226,13558,6161,381,12861,,15014,5035,1652,15009,11950,13661,7921,1558,14298,277,13448,1802,9936,9883,14894,12671,14781,9887,13635,13485,14907,4654,6578,4959,1355,11264,6482,2170,6409,4574,2148,5485,150,9507,14251,15129,11516,5817,13581,65,13676,1836,1803,14702,15484,13577,11848,2354,5449,14856,9915,15131,14947,15222,12878,4710,4729,6612,14825,15491,5022,9699,14555,12259,4664,12220,14624,11485,9615,10079,10113,14762,14941,5688,6531,6361,6476,15590,13523,6,4866,14792,6705,4502,5665,12955,13809,12484,12979,6574,6189,9757,10060,14902,10037,6340,4798,7774,9328,9712,14636,15175,15179,15123,12151,15227,2160,11776,15126,14787,14314,6336,5890,10298,12432,9826,479,3845,9809,391,12668,2245,2120,1255,14388,5714,15686,14978,6294,14817,9292,14779,15013,13599,9168,9830,6306,6064,13472,5666,5466,5061,62,5193,2324,14925,14897,4669,4412,5691,1361,12773,14925,15332,14484,13660,15053,15185,4601,5399,15136,15314,4651,6649,12105,5496,14185,8939,14176,6076,5079,15059,14760,9837,14746,6531,6829,15249,6049,14896,5284,14813,14411,15010,13845,6967,5000,14551,9924,
Cao Fei Dian 11,6352,7993,8199,8924,15134,2959,8146,3285,9999,8439,11238,6707,9905,1747,9998,11141,2933,10847,2644,10833,15098,2358,15014,,10027,13812,1177,4335,1613,8040,14581,5344,15137,6055,13687,5176,5475,173,3855,385,8226,3453,3082,860,11412,14033,11596,13942,4394,11698,13287,9534,10961,13527,9923,15065,6140,1097,1298,4375,9609,4537,15030,1576,13637,13675,644,1453,1820,4392,12950,12902,867,5389,1300,969,1404,2394,11508,10374,8485,424,1475,11659,6319,604,2796,10494,2814,830,4398,5712,4991,6733,746,5052,12605,9656,10777,9601,1556,2327,15039,11503,495,8530,11486,9785,2325,2727,7078,2922,9102,9125,10254,6679,918,8376,11557,11281,8221,7673,5592,738,1152,1156,1292,5638,1201,13265,4316,1295,823,967,9461,12807,9606,3406,6445,14814,12113,5410,14842,3852,13698,13471,14186,3993,9347,1641,4866,10834,416,5935,436,107,2028,10471,6450,8935,11721,6043,9785,12383,11697,15026,9996,13217,995,914,11757,10974,11866,13948,3284,996,1514,689,1612,1224,1162,10553,9669,1305,1497,11409,10239,2937,12413,1055,10412,2975,9271,11890,46,744,6456,699,9656,8591,1202,12966,1010,11931,823,677,1177,1313,9495,11636,757,6514,
Cartagena,4755,11048,1827,1430,5155,8882,2108,6748,114,1797,5846,3384,288,8578,114,1162,7093,3634,8550,3569,5118,7854,5035,10027,,3816,10001,6942,8653,5801,4585,13383,5141,12533,3691,4928,4875,9885,8400,9773,7767,8971,8666,9898,1416,4036,1600,3946,6255,5580,3290,1401,964,3531,463,5069,4498,9242,10121,6507,809,11028,5033,8668,3641,3679,9693,10476,8569,6839,2954,2906,9847,4907,10123,9939,10213,7869,1512,378,1603,9817,10483,1662,4691,9547,7251,498,7211,9616,6477,4607,5071,5105,9754,14026,2609,1522,3771,1467,10582,8515,5043,1507,9783,1697,1490,642,7947,8836,11569,7970,1566,1181,8842,5051,9894,7917,5439,1285,5654,7208,4704,9628,10166,10170,10115,11236,10219,3269,6768,10118,9778,9305,1327,2810,9383,7423,4817,4818,3278,4801,4845,8396,3702,3475,4190,9981,706,10678,13873,3704,9809,4284,9770,10005,8590,8253,4822,1297,5163,12557,643,2387,1701,5030,170,3221,9916,9889,3774,978,4791,3952,7765,9917,10323,9475,8651,10045,10177,557,396,10127,10306,1413,4059,7096,2417,9177,8024,9203,1068,1894,10051,9752,4829,9738,1523,1821,10240,2970,9887,1934,9805,9403,10001,8837,1959,1640,9542,4916,
Caucedo,8540,10387,5612,5216,1740,12219,5894,10534,3829,5582,5171,7170,4090,12363,3829,3694,10880,4671,12017,4605,1708,11639,1652,13812,3816,,13787,10729,12439,6344,815,12721,1738,11871,1404,8715,8661,13672,11094,13560,8310,12058,11908,13685,3663,5730,3947,1203,10042,4904,1604,5188,3463,552,4264,1678,8285,13029,13908,10294,4595,12004,1647,12455,218,184,13480,14263,12356,10626,1702,4601,13634,8694,13910,13726,14000,11656,3721,3510,5390,13604,14270,4010,8478,13334,11038,3404,10998,13402,10264,8393,8858,8892,13541,13364,4753,5309,4806,5254,14369,12302,1657,3854,13570,5483,3545,4443,11734,12231,10907,11757,5352,4968,8179,8838,13680,8460,4763,3746,6197,7751,8491,13415,13953,13957,13901,10573,14005,1594,10554,13905,13565,13092,5114,4955,8720,11038,8604,1521,2269,8587,1502,11091,698,513,471,12811,4493,14465,13401,4739,13596,8071,13557,13792,12377,7591,8609,5084,4487,11895,4444,4531,4049,1644,3971,1758,13703,13676,3091,3089,4114,1209,11369,13704,14110,13262,12438,13831,13964,3403,4177,13914,14093,3660,5082,10883,4561,12964,7361,12599,4855,4143,13838,13539,8616,13525,5309,5608,14027,5114,13674,4282,13592,13190,13788,12623,5746,3988,13329,8702,
Chita - LNG,6347,7045,8194,8919,15129,2645,8141,3280,9994,8434,10428,6702,9900,1714,9993,11136,2926,10842,2498,10828,15093,2363,15009,1177,10001,13787,,4327,1626,8032,14573,4435,15130,5122,13679,5169,5467,1063,3667,889,8218,3134,2762,677,11404,14025,11588,13935,4386,10880,13279,9526,10953,13519,9916,15057,6132,1182,211,4368,9601,3867,15022,1589,13629,13667,620,579,1831,4385,12942,12894,407,5381,213,274,317,2397,11500,10366,8477,933,890,11651,6311,920,2789,10486,2807,478,4390,5704,4983,6725,440,4162,12597,9648,10769,9593,728,2240,15032,11495,1026,8523,11479,9778,2290,2408,6131,2925,9094,9118,9275,6671,317,8368,10739,11273,8213,7666,5584,585,899,903,205,,901,13257,4308,208,373,721,9453,12799,8649,3395,6437,14806,12106,5402,14834,3664,13691,13464,14179,3350,9339,1082,3976,10826,925,5928,1007,1182,2039,9420,6442,8928,10903,5111,9777,12375,11689,15019,9988,13209,251,307,11750,10967,11320,13940,3234,252,427,923,1625,134,909,10546,9661,217,409,11401,10231,2929,12405,1126,,2571,9263,11882,1228,438,6449,586,9648,8584,1002,12958,222,11923,400,895,8,1326,9488,11628,991,6509,
Chittagong,3289,11255,5135,5861,12071,3292,5083,1099,6935,5375,9275,3643,6841,2887,6934,8077,1410,7999,2960,7985,12034,2162,11950,4335,6942,10729,4327,,2970,5183,11507,8649,12064,9334,10613,2103,2401,4203,3118,4091,5368,3522,3089,4216,8338,10959,8522,10868,879,9264,10213,6460,7887,10453,6850,11991,3066,3560,4439,588,6535,5482,11956,2985,10563,10601,4011,4794,2887,345,9876,9828,4165,2315,4440,4257,4531,2187,8434,7300,5411,4135,4801,8585,3245,3865,1569,7420,1529,3933,653,2638,1917,3659,4072,8376,9531,6582,7919,6527,4900,2833,11966,8429,4101,5457,8413,6712,2264,3247,10336,2288,6028,6052,11118,3605,4211,5519,9122,8207,5364,4816,2518,3945,4484,4488,4432,6556,4536,10191,,4435,4096,3623,6387,9733,11659,2094,3371,11740,9256,2336,11768,3115,10625,10397,11113,4435,6273,4996,8190,7976,4126,2862,4088,4323,2908,10530,3376,5862,9026,9321,6711,9309,8623,11953,6922,10143,4234,4207,8900,7901,9009,10874,2260,4235,4641,3793,2969,4362,4494,7480,6595,4445,4624,8335,7381,1414,9339,3494,10300,3614,6197,8816,4369,4069,3383,4056,6582,5518,4558,9892,4205,8857,4123,3720,4319,3154,6422,8562,3860,3450,
