from,Abu Dhabi,Acajutla,Ain Sokhna,Aliaga LNG,Altamira,Ambon,Aqaba,Arun,Arzew,Ashdod,Bahia Blanca,Bahrain,Bal Haf LNG,Barcelona,Batangas,Bethioua,Bilbao,Bintulu,Bonny,Bontang,Brass,Brownsville,Cai Mep Gas Terminal,Cameron,Cao Fei Dian 11,Cartagena,Caucedo,Chita - LNG,Chittagong,Chiwan,Coega,"Colon, Panama",Coos Bay,Corpus Christi,Costa Azul,Cove Point,Dabhol,Dahej,Dalian,Dampier,Dangjin,Dar-es-Salaam,Darwin,Dili,Donghae,Dragon,Drovyanoy,Dunkirk,Elba Island,Ennore,Escobar,Everett,Falconara,Ferrol,Fort de France,Fos - Cavaou,Freeport,Fujairah,Fujian,Futtsu,Gangavaram,Gioia Tauro,Gladstone,Golden Pass,Guangdong,Guayama,Guayanilla,Gwangyang,Hachinohe,Haikou,Haldia,Halifax,Hammerfest,Hatsukaichi,Hazira,Higashi-Ogishima,Himeji,Hitachi,Ho Chi Min City,Holyhead,Huelva,Idku,Inchon,Ishikariwan-Shinko,Isle of Grain,Jebel Ali,Jiangsu,Johore,Jorf Lasfar,Jurong Island,Kagoshima,Kakinada,Karachi,Karwar,Khor al Zubair,Kitakyushu,Kitimat,Klaipeda,Koper,Kribi,Krk Island,Kushiro,Lahad Datu,Lake Charles,Le Havre,Lianyungang,Limassol,Limerick,Livorno,Lumut,Luwuk,Manzanillo,Map Ta Phut,Marmara Ereglisi,Marsa el Brega,Mejillones,Mina Al-Ahmadi,Mizushima,Mombasa,Montevideo,Montoir,Mossel Bay,Mozambique Port,Mundra,Nagasaki,Nanao,Naoetsu,Negishi,New Plymouth,Niigata-Higashi,Northeast Gateway,Offshore Haldia No.1 (TA),Ogishima,Oita - LNG Berth,Okinawa,Ortona,Paldiski South Harbour,Pampa Melchorita,Panjang,Pars,Pascagoula,Pecem,Pipavav,Plaquemines,Pluto LNG Jetty,Point Fortin,Pointe-a-Pitre,Port Esquivel,Port Moresby,Porto Empedocle,Prigorodnoye,Prince Rupert,Punta Europa,Pyeong Taek,Qalhat LNG Terminal,Qingdao,Qinhuangdao,Qinzhou,Quintero,Ras Laffan,Revithousa,Rio Grande,Rosarito,Rosignano LNG,Rostock,Rotterdam,Sabine Pass,Sagunto,Saint John,Sakai LNG,Sakaide,Salvador,Santa Cruz de Tenerife,Sao Francisco do Sul,Savannah,Semarang,Senboku,Sendai,Shanghai,Shenzhen,Shimizu,Shinminato,Sines,Skikda,Sodegaura,Soma,South Hook,Soyo,Sungai Udang,Swinoujscie,Taichung,Talcahuano,Tangguh,Taranto,Teesport,Tianjin Lingang,Tobata,Tombak,Tong Yong,Trieste,Tripoli,Vladivostok,Vyborg,Wakayama,Wilhelmshaven,Yanai,Yangshan,Yokkaichi,Yung-an,Yuzhny,Zeebrugge,Zhangjiagang,Guanabara
Bahia Blanca,9859,5527,11706,7247,6837,9209,11653,8853,5861,7614,,10025,10224,6119,10322,5861,6171,9208,4669,9853,4615,6805,9953,6748,11238,5846,5171,10428,9275,10768,4181,5252,7861,6835,7011,6187,8686,8984,11118,8861,10953,6096,9153,9251,10836,6376,8919,6569,6121,8589,702,6148,7220,5940,4657,6296,6775,9635,10729,10358,8841,6628,7144,6744,10759,4991,5019,10758,10519,10684,9173,6028,7789,10601,8899,10360,10632,10387,9985,6467,5605,7423,10997,10816,6631,9814,10851,9366,5361,9327,10502,8810,9209,8513,10228,10599,8504,7578,7342,4726,7287,10525,10068,6754,6475,11051,7516,6383,6476,10062,9604,6047,10086,7385,7000,3319,10174,10675,6247,561,6260,4034,5538,9091,10604,10918,10884,10352,5713,10827,6137,9101,10355,10532,10344,7147,7779,3860,8866,9940,6618,2938,8920,6599,8858,4635,4720,5549,7951,6525,10729,8541,4718,10989,9431,11038,11237,10706,2731,9945,7117,750,7035,6477,7355,6670,6741,6004,6173,10609,10665,2161,4931,1173,6127,9193,10610,10447,10809,10767,10421,10928,5591,6210,10364,10430,6373,4496,9212,7386,10663,2501,9639,6887,6862,11283,10596,9952,10744,7342,7640,11022,7939,10580,6903,10559,10747,10429,10528,7778,6609,10877,
Bahrain,313,13450,3096,13098,13907,5385,3043,3252,11711,13464,10025,,1619,11965,5067,11707,12046,3601,8747,5050,8733,13871,4346,13814,6514,11692,12237,6509,3450,5161,5930,12759,10839,13900,11525,13186,1436,1362,6394,4908,6281,6115,5480,5175,6407,12266,14862,12450,13177,2764,10011,13056,13066,11814,11722,12142,13841,455,5751,6630,3016,12474,7537,13809,5176,12056,12084,6202,6985,5077,3348,12817,13731,6356,1394,6631,6447,6722,4378,12362,11451,13269,6326,6991,12512,310,6056,3759,11207,3720,6124,2985,964,1579,341,6262,10567,13459,13188,8666,13133,7091,5023,13819,12356,6292,13362,12316,12322,4455,5344,12526,4479,13231,12846,11866,287,6402,6266,9869,12135,6111,5563,1154,6136,6675,6679,6623,8170,6727,13046,3276,6626,6287,5814,12993,13660,12407,3932,133,13683,10003,1288,13664,4905,11701,11786,12614,6490,12371,7186,10381,8723,6317,646,6279,6513,5099,11278,212,12963,9773,11512,12323,13236,12551,13806,11849,13021,6425,6397,9647,10789,9756,13183,4273,6425,6832,5984,5160,6553,6685,11442,12056,6636,6814,12263,8128,3605,13267,5685,11048,5711,12733,12743,6559,6260,127,6246,13188,13486,6749,13820,6396,12784,6313,5911,6510,5345,13624,12490,6051,
Bal Haf LNG,1457,13649,1565,13294,14103,5584,1513,3451,11907,13660,10224,1619,,12157,5260,11899,12238,3794,8940,5243,8926,14063,4538,14006,6707,11884,12429,6702,3643,5354,6122,12952,11032,14093,11717,13379,1629,1575,6586,5100,6474,6308,5672,5367,6599,12458,15054,12642,13370,2956,10203,13249,13258,12007,11914,12335,14033,1199,5943,6822,3208,12666,7729,14002,5369,12249,12277,6394,7177,5270,3540,13009,13923,6548,,6824,6640,6914,4570,12554,11644,13461,6518,7184,12705,1392,6248,3952,11399,3912,6317,3178,1308,1772,1806,6455,10759,13651,13380,8859,13325,7283,5216,14012,12549,6484,13554,12509,12514,4648,5536,12719,4671,13423,13039,12059,1752,6594,6458,10062,12327,6303,5756,1405,6329,6867,6871,6815,8363,6919,13239,3468,6819,6479,6006,13185,13853,12600,4124,1518,13876,10196,1501,13857,5097,11893,11978,12807,6682,12564,7379,10574,8916,6510,985,6471,6706,5291,11470,1523,13155,9965,11704,12515,13429,12743,13999,12042,13214,6617,6590,9840,10982,9948,13376,4465,6618,7024,6176,5352,6745,6878,11635,12248,6828,7007,12455,8321,3797,13459,5878,11241,5904,12925,12936,6752,6453,1530,6439,13380,13679,6941,14012,6588,12977,6506,6104,6702,5537,13817,12682,6243,
Barcelona,11803,5757,13650,1328,5428,11947,13597,10797,352,1695,6119,11965,12157,,12610,352,1470,11155,3910,11748,3845,5396,11899,5312,13732,288,4090,12776,11219,12715,6075,4859,8611,5415,7748,3965,10630,10928,13612,10825,13438,8041,11789,11639,12970,1690,4311,1874,4220,10532,5855,3565,1297,1239,3805,192,5343,11579,13304,12652,10785,686,12762,5308,12730,3915,3953,13152,12366,12631,11116,3228,3180,13092,10843,12653,12959,12518,11932,1786,652,1499,13483,12433,1937,11761,13491,11313,772,11274,13161,10754,11153,10457,12175,13057,9255,2883,1418,4045,1363,12198,12058,5317,1781,13575,1593,1764,392,11999,11962,6664,12032,1465,1077,7011,12121,13003,8191,5713,1559,5928,7482,11035,13171,12704,12670,12645,11510,12614,3543,11045,12648,13057,13367,1223,3085,6339,10769,11887,5092,3552,10863,5120,10822,3976,3749,4464,12826,595,12228,9291,3978,13474,11375,13556,13731,12652,7504,11892,1193,5437,7772,393,2661,1975,5304,155,3495,12936,12993,4048,1252,5065,4226,11100,12937,12454,13534,12714,12695,12714,831,355,12658,12463,1687,4333,11158,2691,13239,7700,12330,964,2168,13777,13055,11898,13103,1418,1717,12737,3244,12907,2209,13083,13465,12777,12899,1859,1914,13602,
Batangas,4906,8634,6752,13735,11154,1474,6700,1838,12349,14102,10322,5067,5260,12610,,12347,12686,1485,9387,980,9373,11116,925,11059,1747,12332,10318,1714,2887,709,6581,9506,6046,11146,6726,11371,3728,4026,1627,2187,1514,6777,1962,1590,1631,12906,15502,13090,11069,2946,10672,11671,13706,12455,10666,12783,11086,4691,984,1836,2927,13114,3537,11055,689,10464,10433,1426,2191,777,2944,11824,14371,1569,3941,1838,1654,1928,957,13002,12091,13909,1558,2216,13153,4870,1288,1348,11847,1366,1346,2949,4263,3542,5284,1487,5773,14099,13828,9307,13773,2315,,11065,12997,1525,14002,12957,12962,720,,7726,1485,13871,13486,10196,5230,1616,6927,10531,12775,6756,6225,4143,1361,1899,1903,1829,4681,1951,11660,2867,1833,1501,1019,13633,14301,10091,1900,4996,10929,10644,3961,10909,2183,10687,10683,10047,2731,13012,2411,5588,9364,1550,4487,1512,1746,985,9818,5001,13603,10413,6714,12963,13877,13191,11052,12490,11824,1632,1611,10287,11430,10396,11075,1716,1632,2038,1216,708,1758,1909,12083,12696,1842,2021,12903,8769,1488,13907,918,9629,1508,13373,13384,1792,1484,5008,1471,13828,14126,1973,14460,1603,13425,1527,1144,1715,615,14265,13130,1284,
Bethioua,11545,5499,13392,1421,5170,11689,13339,10539,5,1787,5861,11707,11899,352,12347,,1209,10893,3649,11486,3583,5134,11638,5051,13471,114,3829,12515,10958,12453,5813,4597,8350,5154,7487,3704,10369,10667,13350,10564,13177,7779,11527,11377,12708,1429,4049,1612,3959,10271,5593,3303,1393,977,3543,523,5081,11318,13043,12390,10523,802,12500,5046,12468,3654,3692,12891,12105,12370,10855,2966,2918,12831,10581,12392,12697,12257,11670,1525,391,1596,13221,12172,1675,11499,13229,11052,510,11012,12900,10493,10892,10196,11913,12796,8993,2621,1515,3784,1460,11937,11797,5056,1519,13314,1689,1503,676,11738,11701,6402,11771,1558,1173,6750,11860,12741,7930,5452,1298,5667,7221,10773,12910,12442,12409,12384,11248,12352,3282,10783,12387,12795,13106,1320,2823,6078,10508,11626,4831,3290,10602,4858,10561,3715,3488,4203,12564,699,11967,9030,3717,13213,11113,13294,13470,12391,7243,11630,1290,5176,7511,677,2399,1714,5043,241,3233,12675,12731,3787,991,4803,3965,10839,12675,12192,13273,12452,12433,12453,570,383,12397,12201,1425,4072,10897,2429,12977,7439,12068,1060,1906,13516,12794,11637,12842,1515,1813,12476,2982,12646,1947,12822,13203,12516,12637,1952,1653,13340,
Bilbao,11884,5366,13730,2596,4919,12028,13678,10878,1209,2962,6171,12046,12238,1470,12686,1209,,11223,3978,11815,3913,4882,11967,4799,13337,1162,3694,12381,11287,12783,6143,4463,8216,4902,7353,3380,10698,10996,13216,10893,13043,8109,11857,11707,12574,558,3230,714,3657,10600,5897,2927,2536,273,3486,1612,4830,11647,13372,12256,10853,1944,12366,4794,12798,3541,3579,12757,11970,12699,11184,2578,2099,12696,10910,12258,12563,12123,11999,654,849,2739,13087,12038,777,11828,13095,11381,952,11341,12766,10822,11221,10525,12243,12662,8859,1723,2658,4113,2603,11803,12126,4804,621,13179,2832,711,1792,12067,12030,6268,12100,2701,2316,6616,12189,12607,8259,5755,250,5996,7550,11103,12775,12308,12275,12250,11218,12218,2905,11113,12253,12661,12994,2463,1925,5944,10837,11955,4579,3532,10931,4606,10890,3683,,4037,12711,1842,11833,8896,4046,13079,11443,13160,13336,12720,7109,11960,2433,5479,7376,1793,1501,815,4791,1320,2856,12541,12597,4084,1284,5106,3663,11168,12541,12058,13139,12781,12299,12319,667,1526,12262,12067,555,4401,11226,1531,13307,7305,12398,2203,1008,13382,12659,11966,12707,2658,2956,12342,2084,12512,1049,12688,13132,12382,12967,3094,754,13206,
Bintulu,3440,9853,5286,12280,12373,1890,5233,372,10894,12647,9208,3601,3794,11155,1485,10893,11223,,7934,1559,7920,12342,761,12285,2933,10881,11424,2926,1410,1576,5116,10731,7255,12370,7940,12373,2251,2546,2810,1883,2694,5302,2119,1695,2822,11453,14049,11628,12294,1470,9198,12244,12251,10989,10909,11332,12312,3214,2166,3039,1452,11661,4087,12281,1591,11244,11272,2617,3400,1497,1468,12004,12916,2771,2463,3045,2864,3137,793,11549,10638,12452,2728,3406,11714,3398,2471,175,10394,134,2539,1474,2786,2065,3804,2677,6982,12652,12356,7854,12314,3506,1438,12290,11528,2707,12545,11504,11510,870,1852,8933,886,12421,12036,10872,3759,2809,5456,9060,11325,5301,4753,2672,2543,3082,3086,3030,5268,3134,12236,1396,3033,2693,2220,12183,12851,10911,980,3525,12135,9194,2490,12116,1872,10891,10976,11254,3033,11562,3593,6788,7914,2724,3015,2686,2920,1505,10390,3530,12153,8963,7919,11513,12427,11741,12259,11040,12212,2831,2804,8837,9980,8946,12282,858,2832,3239,2390,1567,2960,3092,10633,11246,3042,3221,11453,7319,4,12457,2092,10160,2212,11923,11936,2966,2667,3537,2653,12378,12676,3155,13010,2803,11975,2720,2318,2917,1752,12815,11680,2458,
Bonny,8586,6193,10432,5036,6346,8729,10379,7579,3649,5402,4669,8747,8940,3910,9387,3649,3978,7934,,8527,94,6310,8679,6226,10847,3634,4671,10842,7999,9494,2854,5290,9042,6329,8179,5256,7409,7708,10727,7605,10615,4820,8568,8418,10740,4208,6804,4392,5365,7312,4439,5051,5009,3757,4171,4085,6257,8359,10084,10963,7564,4416,9641,6222,9509,4466,4502,10535,11318,9411,7896,4770,5674,10689,7622,10964,10780,11055,8711,4304,3394,5211,10659,11325,4455,8540,10389,8092,3150,8053,10457,7534,7933,7236,8954,10595,9685,5401,5130,214,5075,11424,8838,6231,4299,10625,5305,4259,4264,8779,8742,7094,8812,5173,4789,7311,8900,10735,4971,4298,4077,2708,4262,7814,10469,11008,11012,10956,9593,11060,5040,7824,10959,10620,10147,4935,5603,6770,7548,8666,6006,2831,7643,6034,7602,4231,4188,5103,9605,4314,11519,9722,136,10650,8154,10612,10847,9432,6723,8671,4905,4047,8203,4265,5179,4493,6219,3792,4991,10758,10731,2954,2732,3741,5371,7880,10758,11165,10317,9493,10886,11018,3385,3998,10969,11148,4205,738,7938,5209,10018,6493,9109,4676,4686,10893,10593,8678,10579,5130,5429,11082,5762,10729,4727,10647,10244,10843,9678,5567,4432,10384,
Bontang,4889,9033,6735,12873,11540,1033,6683,1914,11487,13240,9853,5050,5243,11748,980,11486,11815,1559,8527,,8513,11498,1404,11442,2644,11472,10700,2498,2960,1601,5734,9888,6649,11528,7212,11753,3700,3998,2524,1326,2411,6044,1325,845,2528,12046,14642,12230,11451,3019,9827,12053,12846,11594,11048,11922,11468,4663,1881,2577,3001,12254,3237,11437,1582,10846,10816,2323,2927,1664,3018,12206,13511,2408,3912,2579,2466,2664,1436,12142,11231,13049,2456,3113,12292,4842,2186,1422,10987,1439,2209,3023,4235,3514,5256,2383,6440,13239,12968,8446,12913,3075,430,11447,12136,2422,13142,12096,12102,984,995,8126,1865,13011,12626,10029,5203,2454,6194,9686,11915,5903,5491,4115,2258,2796,2800,2571,4426,2848,12043,2941,2574,2339,1894,12773,13440,10003,1161,4969,11311,9783,3933,11292,1323,11069,11066,10429,2191,12151,3307,6254,8503,2447,4459,2409,2643,1871,9594,4973,12743,9553,7199,12103,13016,12331,11434,11629,12207,2444,2450,9427,10569,9536,11457,856,2444,2774,2114,1600,2522,2806,11222,11836,2583,2757,12043,7908,1562,13047,1815,9404,1339,12513,12523,2689,2381,4980,2368,12968,13266,2870,13600,2415,12564,2366,2041,2499,1512,13404,12270,2181,
Brass,8572,6127,10418,4970,6281,8715,10365,7565,3584,5337,4615,8733,8926,3845,9373,3583,3913,7920,94,8513,,6244,8665,6161,10833,3569,4605,10828,7985,9480,2840,5224,8976,6264,8113,5190,7395,7694,10713,7591,10601,4806,8554,8404,10726,4143,6739,4327,5300,7298,4384,4985,4943,3691,4105,4019,6191,8345,10070,10949,7550,4351,9627,6156,9495,4401,4437,10521,11304,9397,7882,4704,5608,10675,7608,10950,10766,11041,8697,4239,3328,5146,10645,11311,4389,8526,10375,8078,3084,8039,10443,7520,7919,7222,8940,10581,9620,5336,5065,230,5010,11410,8824,6166,4234,10611,5239,4193,4199,8765,8728,7029,8798,5108,4723,7265,8886,10721,4957,4243,4012,2694,4248,7800,10455,10994,10998,10942,9579,11046,4975,7810,10945,10606,10133,4870,5537,6705,7534,8652,5941,2767,7629,5968,7588,4166,4122,5038,9591,4248,11505,9657,158,10636,8140,10598,10833,9418,6677,8657,4840,3991,8137,4200,5114,4428,6153,3727,4925,10744,10717,2892,2666,3683,5305,7866,10744,11151,10303,9479,10872,11004,3320,3933,10955,11134,4140,732,7924,5144,10004,6447,9095,4610,4620,10879,10579,8664,10565,5065,5363,11068,5697,10715,4661,10633,10230,10829,9664,5501,4367,10370,
Brownsville,13709,2515,15555,6521,291,11148,15503,12687,5135,6888,6805,13871,14063,5396,11116,5134,4882,12342,6310,11498,6244,,11775,381,10488,5118,1708,9533,13122,11048,7978,1615,5367,216,4504,1886,12533,12831,10368,11919,10195,9944,11100,11198,9726,4737,6662,5043,1438,12435,6538,2254,6493,4657,2205,5569,276,13482,10621,9408,12688,5901,9518,351,11012,1893,1860,9909,9122,11253,13019,2438,5532,9848,12746,9410,9715,9274,11808,4793,4813,6695,10239,9189,5106,13664,10247,12205,4747,12223,9918,12657,13056,12360,14078,9813,6011,5772,6614,6445,6559,8954,11380,386,4950,10331,6789,4585,5748,11668,11246,3420,12336,6658,6273,3767,14024,9759,10094,6397,4881,7831,9385,12938,9927,9460,9427,9401,8370,9370,2244,12948,9405,9813,10145,6419,5974,3096,12481,13790,617,3902,12766,530,11916,2302,2177,1312,9863,5798,8984,6048,6378,10231,13278,10312,10488,11461,4261,13795,6389,6121,4528,5749,5550,5144,348,5276,2408,9692,9749,4725,4496,5748,1444,12176,9693,9210,10291,11047,9451,9470,4685,5483,9414,9219,4734,6733,12345,5580,10565,4457,11099,6160,5162,10534,9811,13801,9859,6615,6913,9494,6133,9664,5368,9839,10283,9533,10749,7051,5083,10358,
Cai Mep Gas Terminal,4184,9287,6030,13025,11807,2040,5978,1116,11638,13391,9953,4346,4538,11899,925,11638,11967,761,8679,1404,8665,11775,,11708,2358,11629,10967,2363,2162,1000,5867,10154,6694,11794,7374,12020,3004,3302,2237,2219,2125,6053,2463,2030,2250,12203,14799,12387,11718,2221,9948,12319,13003,11752,11315,12080,11735,3967,1594,2485,2203,12411,4104,11703,1015,11112,11082,2045,2831,916,2220,12472,13668,2199,3216,2486,2297,2577,50,12299,11389,13206,2169,2835,12450,4146,1899,624,11144,641,1968,2225,3539,2818,4560,2106,6422,13396,13125,8604,13070,2934,1083,11713,12294,2135,13299,12254,12259,593,1804,8375,725,13168,12784,10763,4506,2245,6203,9807,12072,6048,5501,3419,1980,2518,2522,2478,5249,2571,12309,2143,2481,2130,1668,12930,13598,10722,1324,4272,11577,9941,3237,11558,2215,11335,11332,10695,3300,12309,3030,6236,8661,2161,3763,2122,2357,937,10386,4277,12900,9710,7363,12260,13174,12488,11700,11787,12473,2278,2241,9585,10727,9693,11723,1201,2278,2687,1827,998,2407,2529,11380,11993,2491,2669,12200,8066,764,13204,1529,10197,2076,12670,12681,2403,2104,4284,2090,13125,13424,2592,13757,2249,12722,2157,1755,2364,1188,13562,12427,1894,
Cameron,13652,2458,15499,6438,546,11091,15446,12630,5051,6804,6748,13814,14006,5312,11059,5051,4799,12285,6226,11442,6161,381,11708,,10431,5035,1652,9476,13065,10992,7921,1558,5311,277,4448,1802,12476,12774,10311,11862,10138,9887,11043,11141,9669,4654,6578,4959,1355,12379,6482,2170,6409,4574,2148,5485,150,13425,10564,9351,12631,5817,9461,65,10955,1836,1803,9852,9065,11197,12963,2354,5449,9791,12689,9353,9658,9218,11751,4710,4729,6612,10182,9133,5022,13607,10190,12148,4664,12166,9861,12600,13000,12303,14021,9757,5954,5688,6531,6361,6476,8898,11323,6,4866,10274,6705,4502,5665,11611,11189,3363,12279,6574,6189,3711,13967,9702,10037,6340,4798,7774,9328,12881,9870,9403,9370,9345,8313,9313,2160,12891,9348,9756,10089,6336,5890,3039,12424,13733,479,3845,12710,391,11859,2245,2120,1255,9806,5714,8928,5991,6294,10174,13221,10255,10431,11404,4204,13738,6306,6064,4471,5666,5466,5061,62,5193,2324,9636,9692,4669,4412,5691,1361,12119,9636,9153,10234,10991,9394,9413,4601,5399,9357,9162,4651,6649,12289,5496,10508,4400,11043,6076,5079,10477,9754,13745,9802,6531,6829,9437,6049,9607,5284,9783,10227,9477,10692,6967,5000,10301,
Cao Fei Dian 11,6352,7993,8199,14858,10520,2959,8146,3285,13471,15224,11238,6514,6707,13732,1747,13471,13337,2933,10847,2644,10833,10488,2358,10431,,13444,9676,1177,4335,1613,8040,8864,5344,10504,6055,10729,5176,5475,173,3855,385,8226,3453,3082,860,13292,15309,13578,10427,4394,11698,11029,14818,13094,10024,13894,10444,6140,1097,1298,4375,14226,4537,10413,1576,9822,9791,644,1453,1820,4392,11182,14180,867,5389,1300,969,1404,2394,13348,13140,15021,424,1475,13641,6319,604,2796,13030,2814,830,4398,5712,4991,6733,746,5052,14336,14940,10777,14885,1556,2327,10423,13485,495,15114,13165,14074,2325,2727,7078,2922,14983,14598,10254,6679,918,8376,11557,13376,8221,7673,5592,738,1152,1156,1292,5638,1201,11018,4316,1295,823,967,14745,14538,9606,3406,6445,10287,11653,5410,10267,3852,10045,10041,9405,3993,14123,1641,4866,10834,416,5935,436,107,2028,10471,6450,14715,11721,6043,14075,14114,13679,10410,13601,11182,995,914,11757,12679,11866,10433,3284,996,1514,689,1612,1224,1162,13033,13808,1305,1497,13289,10239,2937,14144,1055,10412,2975,14485,13726,46,744,6456,699,14940,15238,1202,14697,1010,13913,823,677,1177,1313,15376,13618,757,
Cartagena,11530,5484,13376,1430,5155,11674,13324,10524,114,1797,5846,11692,11884,288,12332,114,1162,10881,3634,11472,3569,5118,11629,5035,13444,,3816,12502,10945,12441,5801,4585,8337,5141,7474,3691,10356,10654,13338,10551,13164,7767,11515,11365,12696,1416,4036,1600,3946,10258,5580,3290,1401,964,3531,463,5069,11305,13030,12378,10511,809,12488,5033,12456,3641,3679,12878,12092,12357,10842,2954,2906,12818,10568,12379,12685,12244,11657,1512,378,1603,13208,12159,1662,11486,13217,11039,498,10999,12887,10480,10879,10183,11901,12783,8981,2609,1522,3771,1467,11924,11784,5043,1507,13301,1697,1490,642,11725,11688,6389,11758,1566,1181,6737,11847,12728,7917,5439,1285,5654,7208,10761,12897,12430,12396,12371,11236,12340,3269,10771,12374,12782,13093,1327,2810,6065,10495,11613,4818,3278,10589,4845,10548,3702,3475,4190,12551,706,11954,9017,3704,13200,11101,13282,13457,12378,7230,11618,1297,5163,7498,643,2387,1701,5030,170,3221,12662,12719,3774,978,4791,3952,10826,12663,12180,13260,12439,12421,12440,557,396,12384,12188,1413,4059,10884,2417,12965,7426,12056,1068,1894,13503,12781,11624,12829,1523,1821,12463,2970,12633,1934,12809,13191,12503,12625,1959,1640,13328,
Caucedo,12075,1716,13921,5216,1740,10350,13869,11069,3829,5582,5171,12237,12429,4090,10318,3829,3694,11424,4671,10700,4605,1708,10967,1652,9676,3816,,8732,11488,10248,6344,815,4567,1738,3704,1404,10899,11197,9568,11094,9394,8310,10299,10398,8926,3663,5730,3947,1203,10801,4904,1604,5188,3463,552,4264,1678,11848,9821,8608,11054,4595,8718,1647,10212,218,184,9108,8322,10453,11385,1702,4601,9048,11112,8609,8915,8474,11007,3721,3510,5390,9438,8389,4010,12029,9447,11405,3404,11422,9117,11023,11422,10726,12444,9013,5211,4753,5309,4806,5254,8154,10579,1657,3854,9531,5483,3545,4443,10868,10446,2619,11535,5352,4968,2967,12390,8958,8460,4763,3746,6197,7751,11304,9127,8660,8626,8601,7569,8570,1594,11314,8604,9012,9345,5114,4955,2295,11038,12156,1521,2269,11132,1502,11091,698,513,471,9062,4493,8184,5247,4739,9430,11644,9512,9687,10660,3460,12161,5084,4487,3728,4444,4531,4049,1644,3971,1758,8892,8949,3091,3089,4114,1209,11376,8893,8410,9490,10247,8651,8670,3403,4177,8614,8418,3660,5082,11427,4561,9764,3656,10299,4855,4143,9733,9011,12167,9059,5309,5608,8693,5114,8863,4282,9039,9483,8733,9949,5746,3988,9558,
Chita - LNG,6347,7045,8194,13902,9564,2645,8141,3280,12515,14269,10428,6509,6702,12776,1714,12515,12381,2926,10842,2498,10828,9533,2363,9476,1177,12502,8732,,4327,1626,8032,7909,4435,9549,5122,9774,5169,5467,1063,3667,889,8218,3134,2762,677,12337,14355,12623,9472,4386,10880,10074,13863,12139,9069,12940,9489,6132,1182,211,4368,13271,3867,9458,1589,8867,8837,620,579,1831,4385,10227,13225,407,5381,213,274,317,2397,12393,12186,14066,933,890,12686,6311,920,2789,12076,2807,478,4390,5704,4983,6725,440,4162,13382,13985,10769,13930,728,2240,9468,12530,1026,14159,12211,13119,2290,2408,6131,2925,14028,13643,9275,6671,317,8368,10739,12422,8213,7666,5584,585,899,903,205,,901,10064,4308,208,373,721,13790,13583,8649,3395,6437,9332,10699,5402,9313,3664,9090,9087,8450,3350,13169,1082,3976,10826,925,5928,1007,1182,2039,9420,6442,13760,10903,5111,13120,13159,12724,9455,12647,10228,251,307,11522,11724,11320,9478,3234,252,427,923,1625,134,909,12079,12853,217,409,12334,10231,2929,13190,1126,,2571,13530,12772,1228,438,6449,586,13985,14284,1002,13743,222,12958,400,895,8,1326,14422,12664,991,
Chittagong,3289,11255,5135,12345,13154,3292,5083,1099,10958,12711,9275,3450,3643,11219,2887,10958,11287,1410,7999,2960,7985,13122,2162,13065,4335,10945,11488,4327,,2970,5183,12012,8649,13153,9334,12439,2103,2401,4203,3118,4091,5368,3522,3089,4216,11519,14115,11702,12430,879,9264,12309,12319,11067,10975,11395,13093,3066,3560,4439,588,11727,5482,13062,2985,11309,11337,4011,4794,2887,345,12070,12984,4165,2315,4440,4257,4531,2187,11615,10704,12522,4135,4801,11765,3245,3865,1569,10460,1529,3933,653,2638,1917,3659,4072,8376,12712,12440,7919,12385,4900,2833,13072,11609,4101,12615,11569,11575,2264,3247,10336,2288,12484,12099,11118,3605,4211,5519,9122,11388,5364,4816,2518,3945,4484,4488,4432,6556,4536,12299,,4435,4096,3623,12245,12913,11659,2094,3371,12936,9256,2336,12917,3115,10954,11039,11867,4435,11624,4996,8190,7976,4126,2862,4088,4323,2908,10530,3376,12215,9026,9321,11576,12489,11804,13059,11102,12274,4234,4207,8900,10042,9009,12436,2260,4235,4641,3793,2969,4362,4494,10695,11309,4445,4624,11515,7381,1414,12519,3494,10300,3614,11986,11996,4369,4069,3383,4056,12441,12739,4558,13072,4205,12037,4123,3720,4319,3154,12877,11743,3860,
